oc1,oc2,appel_2nde,loisir_2nde,loisir_1ere,comment
AIX EN PROVENCE TGV,VENTIMIGLIA STAZIONE  (IT),,46,69,
AIX EN PROVENCE TGV,VERSAILLES CHANTIERS,25,116,162,
AIX LES BAINS LE REVARD,ALBERTVILLE,,19.5,31,
AIX LES BAINS LE REVARD,ANTIBES,25,105,163,
AIX LES BAINS LE REVARD,AURAY,30,137,179,
AIX LES BAINS LE REVARD,BOURG EN BRESSE,,22,32,
AIX LES BAINS LE REVARD,DOUAI,25,127,167,
AIX LES BAINS LE REVARD,REDON,30,137,179,
AIX LES BAINS LE REVARD,SALLANCHES COMBLOUX MEGEVE,,24.5,36,
AIX LES BAINS LE REVARD,ST GERVAIS LES BAINS LE FAYET,,25,38,
AIX LES BAINS LE REVARD,ST RAPHAEL VALESCURE,25,100,163,
AIX,LES,BAINS , LE REVARD,MASSY PALAISEAU,25,103,136,
AIX,LES,BAINS , LE REVARD,VERSAILLES CHANTIERS,25,103,136,
ALBERTVILLE,ALBERTVILLE,LAVAL,25,120,162,
ALBERTVILLE,AURAY,30,137,179,
ALBERTVILLE,BERNAY,25,125,165,
ALBERTVILLE,BOURG EN BRESSE,,22,28.5,
ALBERTVILLE,DOUAI,25,127,167,
ALBERTVILLE,ECOLE VALENTIN,,75,89,
ALBERTVILLE,LISIEUX,25,125,165,
ALBERTVILLE,REDON,30,137,179,
ANCENIS,LA ROCHE SUR YON,,23,35,
ANCENIS,LES SABLES D'OLONNE,,28.5,42,
ANCENIS,NANTES,,9.6,14.3,
ANCENIS,PARIS MONTPARNASSE 1 ET 2,20,77,111,
ANCENIS,SABLE,,21.5,31,
ANCENIS,ST NAZAIRE,,21,30,
ANGERS ST LAUD , AEROPORT CDG2 TGV ROISSY,20,75,107,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD , LYON PART DIEU,25,99,140,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD , LYON PERRACHE,25,99,140,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD , LYON SAINT EXUPERY TGV,25,96,135,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD , MARNE LA VALLEE CHESSY,20,75,107,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD , MASSY TGV,20,75,107,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD , PARIS MONTPARNASSE 1 ET 2,20,75,107,Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD,AEROPORT CDG 2 TGV ROISSY,20,73,104,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD,AIME LA PLAGNE,25,120,161,
ANGERS ST LAUD,AIX EN PROVENCE TGV,25,133,173,
ANGERS ST LAUD,AIX LES BAINS LE REVARD,25,120,161,
ANGERS ST LAUD,ALBERTVILLE,25,120,161,
ANGERS ST LAUD,ANCENIS,,13,19,
ANGERS ST LAUD,ANNECY,25,120,161,
ANGERS ST LAUD,ANNEMASSE,25,120,161,
ANGERS ST LAUD,ARRAS,25,101,127,
ANGERS ST LAUD,AURAY,,41,60,
ANGERS ST LAUD,AVIGNON,25,133,173,
ANGERS ST LAUD,AVIGNON TGV,25,133,173,
ANGERS ST LAUD,BOURG ST MAURICE,25,120,161,
ANGERS ST LAUD,BREST,,74,106,
ANGERS ST LAUD,CHAMBERY CHALLES LES EAUX,25,120,161,
ANGERS ST LAUD,CHAMPAGNE ARDENNE,25,92,122,
ANGERS ST LAUD,CLUSES  74,25,120,161,
ANGERS ST LAUD,DOUAI,25,101,127,
ANGERS ST LAUD,GRENOBLE,25,115,159,
ANGERS ST LAUD,GUINGAMP,,57,82,
ANGERS ST LAUD,LA BAULE ESCOUBLAC,,32,46,
ANGERS ST LAUD,LA ROCHE SUR FORON,25,120,161,
ANGERS ST LAUD,LA ROCHE SUR YON,,29,43,
ANGERS ST LAUD,LANDRY,25,120,161,
ANGERS ST LAUD,LE CREUSOT MONTCEAU MONTCHANIN,25,95,135,
ANGERS ST LAUD,LE CROISIC,,34,48,
ANGERS ST LAUD,LE MANS,,21,30,
ANGERS ST LAUD,LE POULIGUEN,,33,47,
ANGERS ST LAUD,LES SABLES D'OLONNE,,32,45,
ANGERS ST LAUD,LILLE EUROPE,25,101,127,
ANGERS ST LAUD,LILLE FLANDRES,25,101,127,
ANGERS ST LAUD,LORIENT,,45,66,
ANGERS ST LAUD,LORRAINE TGV,25,112,148,
ANGERS ST LAUD,LYON PART DIEU,25,96,135,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD,LYON PERRACHE,25,96,135,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD,LYON ST EXUPERY,25,96,135,
ANGERS ST LAUD,MARNE LA VALLEE CHESSY,20,73,104,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD,MARSEILLE ST CHARLES,25,133,173,
ANGERS ST LAUD,MASSY PALAISEAU,,57,107,
ANGERS ST LAUD,MASSY TGV,20,73,104,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD,MODANE,25,120,161,
ANGERS ST LAUD,MONTPELLIER,25,133,173,
ANGERS ST LAUD,MORLAIX,,63,90,
